Comment,Cleaned,Sentiment,Score
Bhaiya Aaj ki video ne rua diya Bhai ki yaad aagi bhut jada bhn Bhai ka kitna pyara rista hota hai 😢😢😢😢😢😢😢😢😢,bhaiya aaj ki video ne rua diya bhai ki yaad aagi bhut jada bhn bhai ka kitna pyara rista hota hai,neutral,0.0
God bless you all very nice video 👍,god bless nice video,positive,0.70302
Very nice🌹🌹👌👌 best episode❤❤❤❤❤,nice best episode,positive,0.79436
Nice,nice,positive,0.49289999999999995
Bhut hi sundar❤,bhut hi sundar,neutral,0.0
Sanu vi aa,sanu vi aa,neutral,0.0
Very nice,nice,positive,0.49289999999999995
Veer very nice story 👌 👍 👏,veer nice story,positive,0.49289999999999995
Vijay 🎉🎉🎉🎉❤❤😊😊😊😊,vijay,neutral,0.0
❤❤😢😢,,neutral,0.0
Tenno  Ikthe  He Ghume  Jande  Ho,tenno ikthe ghume jande ho,neutral,0.0
Beutiful song ❤❤❤,beutiful song,neutral,0.0
Bchaya de reb rakha,bchaya de reb rakha,neutral,0.0
ਫਤਿਹ ਫਤਹ ਤੇ ਗੁਰੀ ਪੁੱਤ ਤੁਸੀਂ ਬਹੁਤ ਹੀ ਵਧੀਆ ਬੱਚੇ ਆ ਤੁਹਾਡੀ ਬਹਾਦਰੀ ਨੂੰ ਸਲਾਮ ਪੁੱਤ ਕੋਟ ਕੋਟ ਸਲਾਮ ਧਨ,,neutral,0.0
Ah mindo da thekna jeha jada tej hai ede lagan walian hoyian😂😂😂pehla ohnu le gaya hun kehnda pta ni mai ki kara😂kara,ah mindo da thekna jeha jada tej hai ede lagan walian hoyian pehla ohnu le gaya hun kehnda pta ni mai ki kara kara,neutral,0.0
Very nice video❤❤❤❤❤,nice video,positive,0.49289999999999995
❤❤❤🎉🎉🎉🎉,,neutral,0.0
Good nice je,good nice je,positive,0.67448
Amar veer ji dev veer ji ajj da episode ta siraa hi kraya peya bahla ghaint aa ❤❤❤❤,amar veer ji dev veer ji ajj da episode ta siraa hi kraya peya bahla ghaint aa,neutral,0.0
Superb 👌,superb,positive,0.77494
Rozy Didi diya kudiya aun di wait sab nu aa jldi jldi episode aave te rozy Didi apniya bachiya nu boht Pyaar deve te apne change sanskaar deve,rozy didi diya kudiya aun di wait sab nu aa jldi jldi episode aave te rozy didi apniya bachiya nu boht pyaar deve te apne change sanskaar deve,neutral,0.0
episode wadia c but i miss manu in this episode,episode wadia c miss manu episode,negative,-0.09186000000000001
Very nice episode  bachiya di acting bhut vdiya ❤,nice episode bachiya di acting bhut vdiya,positive,0.37289999999999995
27:59 😢😢😢😢,27 59,neutral,0.0
❤❤❤ very nice video God bless you ❤❤❤🎉🎉🎉🎉,nice video god bless,positive,0.70302
Nice,nice,positive,0.49289999999999995
❤❤❤❤ nice video,nice video,positive,0.49289999999999995
❤,,neutral,0.0
Very nice video,nice video,positive,0.49289999999999995
nyc🎉,nyc,neutral,0.0
Nice video,nice video,positive,0.49289999999999995
Very nice👌👌,nice,positive,0.49289999999999995
Very very nice video bro 👌👌👍👍❤❤❤,nice video bro,positive,0.49289999999999995
❤❤❤,,neutral,0.0
Baljeet didi bht rude bolde,baljeet didi bht rude bolde,negative,-0.39527999999999996
❤❤,,neutral,0.0
Very Very Nice Video Dev Brother Ji And Mindo Sister Ji God Bless You 👌👌❤❤,nice video dev brother ji mindo sister ji god bless,positive,0.70302
Kailash Ranii,kailash ranii,neutral,0.0
Nice video very nice 🎉🎉🎉❤❤❤❤❤❤,nice video nice,positive,0.64848
Nice story hai ji 👌🏻,nice story hai ji,positive,0.49289999999999995
Fath good,fath good,positive,0.54424
Gurui dr roll good hi,gurui dr roll good hi,positive,0.54424
Nice episode ❤bachiya de acting jabsrdast ehi pyaar hunda se pehle behan te bhrava da kite vi milan chale jande se aaj eh pyaar nahi reha ❤,nice episode bachiya de acting jabsrdast ehi pyaar hunda se pehle behan te bhrava da kite vi milan chale jande se aaj eh pyaar nahi reha,positive,0.37289999999999995
Very nice story ❤❤❤❤❤,nice story,positive,0.49289999999999995
Mindo❤ mnu bahut  Der lag  riha  a very nice  story ❤❤❤❤❤❤,mindo mnu bahut der lag riha nice story,positive,0.30162
Baljeet is very wrong,baljeet wrong,negative,-0.48602
Nice❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉,nice,positive,0.49289999999999995
Very nice episode,nice episode,positive,0.49289999999999995
Bacheya ne kamaal kar diya very nice song,bacheya ne kamaal kar diya nice song,positive,0.49289999999999995
Fateh & Guri de acting bahut badhiya hai.,fateh guri de acting bahut badhiya hai,neutral,0.0
Bacheyan ne kamaal karti ecting di,bacheyan ne kamaal karti ecting di,neutral,0.0
"ਕੱਲ ਨੂੰ ਬੁੱਟਰ ਨੇ ਦੋਨਾਂ ਬੱਚਿਆਂ ਨੂੰ ਘਰ ਲਏ ਆਣਾ ਤੇ ਬੂਟਰ ਤੇ ਹੀ ਇਲਜ਼ਾਮ ਲੱਗ ਜਾਣਾ ਕਿ ਉਸਨੇ ਬੱਚੇ ਅਗਵਾਹ ਕੀਤੇ ਹਨ ,ਫਿਰ ਬੱਚਿਆਂ ਨੇ ਸੱਚਾਈ ਦੱਸ ਦੇਣੀ ਕਿ ਬੁੱਟਰ ਅੰਕਲ ਤਾਂ ਸਾਨੂੰ ਬਚਾ ਕੇ ਲੈ ਕੇ ਆਏ ਨੇ😂",,neutral,0.0
Full video dalo plsss,full video dalo plsss,positive,0.13999999999999999
Very very very nice ❤❤❤❤❤❤❤❤❤❤❤ and,nice,positive,0.49289999999999995
Baljit da roll badi chalaki da hai. Baljit nu roll boat vadhia lagda haik..a,baljit da roll badi chalaki da hai baljit nu roll boat vadhia lagda haik,neutral,0.0
Bache butter veer nu mil Jaan or ohh vapis leke aaye,bache butter veer nu mil jaan ohh vapis leke aaye,neutral,0.0
Butter Sir ne bht vdiyaaaaaa gal kahi k bache sabde saanjhe hunde aa,butter sir ne bht vdiyaaaaaa gal kahi k bache sabde saanjhe hunde aa,neutral,0.0
Jldi lyado mindo te mnu diya bhena nu,jldi lyado mindo te mnu diya bhena nu,neutral,0.0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤,,neutral,0.0
Laadliyan story super 👌👌👌Teeno bachon ki acting wahhhh..kamal kr deya,laadliyan story super teeno bachon ki acting wahhhh kamal kr deya,positive,0.42630666666666667
❤❤❤❤❤❤,,neutral,0.0
❤❤❤❤❤❤,,neutral,0.0
❤❤❤❤❤😊,,neutral,0.0
Nice 👍,nice,positive,0.49289999999999995
Guru ye Fateh di acting bht sohniiiiiii h Allah bless them❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,guru ye fateh di acting bht sohniiiiiii h allah bless,positive,0.25289999999999996
Very nice song ❤,nice song,positive,0.49289999999999995
Bahut sunder eapesot ❤❤,bahut sunder eapesot,neutral,0.0
No words awesome episode 🎉🎉 waheguru ji hamesha mehar rakhan sabh nu khushiyaan bakshan tandrust rakhan tarakiyaa bakshan ❤️❤️❤️ lots of love such a hardworking and inspiring family 🎉🎉n team members work,words awesome episode waheguru ji hamesha mehar rakhan sabh nu khushiyaan bakshan tandrust rakhan tarakiyaa bakshan lots love hardworking inspiring family n team members work,positive,0.8079866666666666
❤❤❤❤❤❤,,neutral,0.0
Very nice ji 🙏,nice ji,positive,0.49289999999999995
Bacheya di acting superb,bacheya di acting superb,positive,0.57494
Very nice 👍👍👍👍❤️❤️❤️❤️,nice,positive,0.49289999999999995
Very emotional story ❤,emotional story,positive,0.09186000000000001
Very nice acting,nice acting,positive,0.37289999999999995
❤❤nice ji,nice ji,positive,0.49289999999999995
Very nice story brother ❤,nice story brother,positive,0.49289999999999995
Nice 😅,nice,positive,0.49289999999999995
"Very cute children Junior Devgan superb, ahead of papa. ❤❤❤❤🎉",cute children junior devgan superb ahead papa,positive,0.7778400000000001
Very nice story brother ❤,nice story brother,positive,0.49289999999999995
Bachhyan de acting superb👌❤❤,bachhyan de acting superb,positive,0.57494
"ਸੌਟਰੀਬਹੁਤ.ਵਧੀਆ
ਲਗੀ.ਦੇਵ.ਵੀਰ.ਜੀ",,neutral,0.0
❤❤❤❤,,neutral,0.0
Very nice interesting super story 🥰🥰❤️❤️,nice interesting super story,positive,0.7044111111111111
❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉,,neutral,0.0
❤❤❤❤❤❤❤,,neutral,0.0
Very good buter veer ji,good buter veer ji,positive,0.54424
Very nice  acting  babies gbu both,nice acting babies gbu,positive,0.37289999999999995
Very nice bcheya di acting bhut hi jyada vdia ❤❤,nice bcheya di acting bhut hi jyada vdia,positive,0.37289999999999995
Super episode ❤,super episode,positive,0.4929733333333334
Super duper episode ❤❤🎉🎉,super duper episode,positive,0.4929733333333334
Very nice❤❤super episode❤❤❤,nice super episode,positive,0.6496866666666666
Very nice episode 👌👌,nice episode,positive,0.49289999999999995
Bache butter nu labh Jaan...te uh una nu ghar shad aye ohna de.fer una Teena bharawa nu apni galti da ehsas Hove..mere hisab nal eh agla episode hona chahida,bache butter nu labh jaan te uh una nu ghar shad aye ohna de fer una teena bharawa nu apni galti da ehsas hove mere hisab nal eh agla episode hona chahida,negative,-0.2
Baljeet bhut hi boldi hai beakal hai,baljeet bhut hi boldi hai beakal hai,neutral,0.0
Buttar nu mile jane bache,buttar nu mile jane bache,neutral,0.0
Beautiful story very nice acting all family members  God bless you ji 🙏❤️🙏❤️🙏❤️🙏❤️🙏❤️🙏,beautiful story nice acting family members god bless ji,positive,0.7279333333333333
Very very nice story and gbu ❣️🙌👏👏,nice story gbu,positive,0.49289999999999995
Nice,nice,positive,0.49289999999999995
Very very very very very very very nice episode 👍👍👍🌹♥️😍🤟🙏🥰🥰,nice episode,positive,0.49289999999999995
Very nice video❤❤❤❤,nice video,positive,0.49289999999999995
Bhut vadiya episode a g🙏🏻🙏🏻,bhut vadiya episode g,neutral,0.0
ਬਚਿਆ ਦੀ ਐਕਟਿੰਗ ਬਹੁਤ ਹੀ ਜਿਆਦਾ ਵਧੀਆ ❤❤❤❤❤,,neutral,0.0
"Very nice, good and interesting video.",nice good interesting video,positive,0.72756
ਜੰਮੇ ਤੂੰ ਖਿਆਲ ਓ ਰੱਖੇ,,neutral,0.0
Jo bahan ki yad bhaiyon ko aati Hai usi ko nahin aati,jo bahan ki yad bhaiyon ko aati hai usi ko nahin aati,neutral,0.0
Ajj bacheya di acting super duper,ajj bacheya di acting super duper,positive,0.42630666666666667
Very very nice video ji buteful massage and story all tem very nice waheguru ji mahrkarn ji👏👏 very very good shot very emotional guru and fhat singh ji👍👍❤❤🥰👌 28:08 👍👍👍👍,nice video ji buteful massage story tem nice waheguru ji mahrkarn ji good shot emotional guru fhat singh ji 28 08,positive,0.69652
Story  da twist  bhut hi ghaint aa har video ch att kr dinde aa,story da twist bhut hi ghaint aa har video ch att kr dinde aa,neutral,0.0
ਬਹੁਤ ਵਧੀਆ ਕਹਾਣੀ ਹੈ,,neutral,0.0
Fatah bhaut hi peari boli bol rha haa,fatah bhaut hi peari boli bol rha haa,neutral,0.0
Very emotional episodes ❤,emotional episodes,positive,0.09186000000000001
Darna sheron Ne nahin sikha hai Jat kahan sikhate hain Darna Bahadur banoge donon bacche tabhi bade ho gir gir ke Sambhal tea and Darna Darna nahin sikhana,darna sheron ne nahin sikha hai jat kahan sikhate hain darna bahadur banoge donon bacche tabhi bade ho gir gir ke sambhal tea darna darna nahin sikhana,neutral,0.0
Very nice story god bless you,nice story god bless,positive,0.70302
Very good vedu ❤❤❤❤❤,good vedu,positive,0.54424
God bless you bacho tusi te ruva dita,god bless bacho tusi te ruva dita,positive,0.35964
Very nice story 👌👌👌👌✨✨✨✨✨✨,nice story,positive,0.49289999999999995
ਬਹੁਤ ਵਧੀਆ ਲੱਗਿਆ ਅੱਜ ਦਾ ਐਪੀਸੋਡ 🎉🎉❤❤,,neutral,0.0
करण और गुरी की बहुत बढ़िया एक्टिंग,,neutral,0.0
‌ਬਹੁਤ ਵਧੀਆ ਜੀ,,neutral,0.0
LAADLYAN very nice episode 31 ਹਰੇਕ EPISODE ਬਹੁਤ ਵਧੀਆ ਹਨ ਅਗਲੇ ਵੀਡੀਓ ਬਹੁਤ ਵਧੀਆ ਹੋਣਗੀਆ very nice episode❤❤❤❤,laadlyan nice episode 31 episode nice episode,positive,0.64848
Very very very nice episode❤❤❤❤❤,nice episode,positive,0.49289999999999995
Very nice video Episode Amar Dev MINDO JI ❤❤❤❤,nice video episode amar dev mindo ji,positive,0.49289999999999995
Butar  di gal bdia laggi bachya nu labn tur pya🎉❤❤ bachya di act sonyc❤❤🎉 bti,butar di gal bdia laggi bachya nu labn tur pya bachya di act sonyc bti,neutral,0.0
"LAADLYAN EPISODE..BOL MITTI DEYA BAWEYA EPISODE,,ਬਹੁਤ ਵਧੀਆ ਵੀਡੀਓ ਲੱਗਿਆ ਹਨ  AMAR DEVGAN MINDO FAMILY",laadlyan episode bol mitti deya baweya episode amar devgan mindo family,neutral,0.0
LAADLYAN very nice episode 31 ਹਰੇਕ EPISODE ਬਹੁਤ ਵਧੀਆ ਹਨ ਅਗਲੇ ਵੀਡੀਓ ਬਹੁਤ ਵਧੀਆ ਹੋਣਗੀਆ very nice episode,laadlyan nice episode 31 episode nice episode,positive,0.64848
Very emotional story👍👍,emotional story,positive,0.09186000000000001
❤❤❤,,neutral,0.0
Waheguru ji waheguru ji 🙏🏅💕💗🎋🌸🎉🎉🎉🙏🙏,waheguru ji waheguru ji,neutral,0.0
Bhai Behan ka pyar dekhker rona aa gye very nice song,bhai behan ka pyar dekhker rona aa gye nice song,positive,0.49289999999999995
❤❤❤❤❤❤,,neutral,0.0
Ek seen nu enna lambha na kriya kro ki pura episode ek e cheez ch nikl jave,ek seen nu enna lambha na kriya kro ki pura episode ek e cheez ch nikl jave,neutral,0.0
Very nice story 👌 👍 👏 😀,nice story,positive,0.49289999999999995
Fateh ki acting bhut achi hai dono bacho ne bhut acha kaam kiya hai 👌,fateh ki acting bhut achi hai dono bacho ne bhut acha kaam kiya hai,neutral,0.0
very nice episode,nice episode,positive,0.49289999999999995
Guri ta karan de acting bahut vadia se 🙏👍👍,guri ta karan de acting bahut vadia se,neutral,0.0
Bachia di acting wah g wah dusra bacha kinda ev daso ik da mindo g da Fateh hai,bachia di acting wah g wah dusra bacha kinda ev daso ik da mindo g da fateh hai,neutral,0.0
Nice video,nice video,positive,0.49289999999999995
V nice video Newzeeland,v nice video newzeeland,positive,0.49289999999999995
Bahut hi vdhiya ❤❤❤😂,bahut hi vdhiya,neutral,0.0
Very very nice,nice,positive,0.49289999999999995
❤❤ bhot jyda soni story se eh wali,bhot jyda soni story se eh wali,neutral,0.0
ਗੁਰੀ ਤੇ ਫਹਿਤੇ ਦੀ ਐਕਟਿੰਗ ਬਹੁਤ ਬਹੁਤ ਵਧੀਆ ❤,,neutral,0.0
Fateh te guri acting  super  bahut hi vadia series  chal  rahi Dev veer ji  all team nice work👌❤️😊,fateh te guri acting super bahut hi vadia series chal rahi dev veer ji team nice work,positive,0.5874644444444445
ਬੁਟਰ ਦਿਲੋਂ ਬਹੁਤ ਵਧੀਆ ਬੰਦਾ ਹੈ,,neutral,0.0
Billi Dhamyan,billi dhamyan,neutral,0.0
ਬਹੁਤ ਬਹੁਤ ਵਧੀਆ ਵੀਡੀਓ,,neutral,0.0
Zeberdast episode,zeberdast episode,neutral,0.0
Very nice video next part 👌👌👌👌👌👌👌👌👌,nice video next part,positive,0.37289999999999995
Endless 🎉,endless,negative,-0.05
Super duper ❤❤❤❤❤❤❤❤❤❤,super duper,positive,0.4929733333333334
Very nice story ❤❤❤❤,nice story,positive,0.49289999999999995
Very nice video 👍,nice video,positive,0.49289999999999995
Hye mai dargyi last scene dekh ke 😢 god bless you mr mrs devgaan team and family thodi series to bina day incomplete lagda va 😅😊❤🎉,hye mai dargyi last scene dekh ke god bless mr mrs devgaan team family thodi series bina day incomplete lagda va,positive,0.35964
Boring stori,boring stori,negative,-0.59092
Very nice story gbu,nice story gbu,positive,0.49289999999999995
Guri te   Karan di acting  no words  and superrrrr Superrrrr Superrrrr Superrrrr se bhi uperrrrrrrrrrr acting ❤❤❤❤❤❤❤❤,guri te karan di acting words superrrrr superrrrr superrrrr superrrrr se bhi uperrrrrrrrrrr acting,neutral,0.0
ਜੁੜਵਾ ਕੁੜੀਆਂ ਲਿਆਂਦੀਆਂ ਜਾਣ ਐਪਿਸੋਡ ਵਿੱਚ..,,neutral,0.0
❤❤❤❤❤❤🎉🎉🎉🎉🎉,,neutral,0.0
tym hi pass kita ajj ta,tym hi pass kita ajj ta,neutral,0.0
ਬਹੁਤ ਵਧੀਆ❤,,neutral,0.0
Very nice,nice,positive,0.49289999999999995
Fatheh te krn ta ajj shaaah ge❤❤❤❤❤ butter da bachiea prtti pair vakh ke bhot vadiea lga❤❤❤,fatheh te krn ta ajj shaaah ge butter da bachiea prtti pair vakh ke bhot vadiea lga,neutral,0.0
Nice❤❤,nice,positive,0.49289999999999995
❤❤❤❤❤,,neutral,0.0
Very nice story g ❤❤❤🎉🎉🎉,nice story g,positive,0.49289999999999995
Very Very nice episode,nice episode,positive,0.49289999999999995
Bhut vadia story aa ji,bhut vadia story aa ji,neutral,0.0
Verynicevideostory🎉🎉🎉ladiaepiosrdilsapkhani,verynicevideostory ladiaepiosrdilsapkhani,neutral,0.0
Awesome story ❤❤❤,awesome story,positive,0.77494
Dev veere hona nu ik benti aa b  bache di jgah koi gudda guddi lai ayo jo asli lge pr jdo kyi war bacha kol ni hunda ghto ght kapde 😂 lpet ke ta na bacha dukhaya kro eni grmi ch bache da muh tk kon dhakda,dev veere hona nu ik benti aa b bache di jgah koi gudda guddi lai ayo jo asli lge pr jdo kyi war bacha kol ni hunda ghto ght kapde lpet ke ta na bacha dukhaya kro eni grmi ch bache da muh tk kon dhakda,negative,-0.35964
Nice episode 👍,nice episode,positive,0.49289999999999995
ਬਹੁਤ ਵਧੀਆ ਸਟੋਰੀ ❤❤ ❤❤🎉🎉🎉 ਬੱਚਿਆਂ ਦੀ ਐਕਟਿੰਗ ਬਹੁਤ ਵਧੀਆ,,neutral,0.0
Kon kon janda is jagal de bare kithe hai ma sanowal da rhan wala,kon kon janda jagal de bare kithe hai sanowal da rhan wala,neutral,0.020000000000000004
Very nice episode keep it up ❤❤❤❤,nice episode keep,positive,0.49289999999999995
very nice 👍,nice,positive,0.49289999999999995
