Comment,Cleaned,Sentiment,Score
ਨਿਰਾ ਨਜ਼ਾਰਾ ਪਰ ਭਾਅ ਜੀ ਇੱਕ ਬੇਨਤੀ ਆ ਹਾਨੂੰ ਨੀ ਪਤਾ ਵੀਡੀਓ ਦੋ ਤਿੰਨ ਘੰਟੇ ਦੀ ਪਾਇਆ ਕਰੋ,,neutral,0.0
Ki haal chal bro Mai mohali to Mai thonu cp67 mall ch milya c,ki haal chal bro mai mohali mai thonu cp67 mall ch milya c,neutral,0.0
Satshrikal veer ji Insta tu aya 😂,satshrikal veer ji insta tu aya,neutral,0.0
ਅੱਜ ਬੜੇ ਦਿੰਨਾ ਬਾਅਦ ਹਾਡੀ ਆ ਗੀ ਕਿਵੇਂ ਯਾਦ,,neutral,0.0
ਹਾਜਿਰ ਜੀ ਸਿੱਧਾ ਇੰਸਟਾ ਤੋ ਆਏ ਆ,,neutral,0.0
Hi,hi,neutral,0.0
😂😂😂😂,,neutral,0.0
Bro trapped everyone on instagram “mention you” 😭,bro trapped everyone instagram mention,negative,-0.39602
Punjabi aa ge oyeeee🎉🎉🎉,punjabi aa ge oyeeee,neutral,0.0
First comment 🎉🎉🎉,first comment,positive,0.1
best ❤,best,positive,0.7821400000000001
